label,x,y,plot_type,plot_num
Early_Cultivar,0.0,88192.71307706303,path,0
Early_Cultivar,0.12663419743756604,88192.71307706303,path,0
Early_Cultivar,0.1460887083442792,90652.52239469963,path,0
Early_Cultivar,0.1685319695433928,98181.7678573558,path,0
Early_Cultivar,0.19442313564193636,111583.41436663903,path,0
Early_Cultivar,0.22429190007840108,132525.77944339576,path,0
Early_Cultivar,0.25874933183583704,164011.78656546224,path,0
Early_Cultivar,0.29850037697344173,213120.65341887387,path,0
Early_Cultivar,0.344358280738741,294568.5928109727,path,0
Early_Cultivar,0.3972612253146069,438744.0435198635,path,0
Early_Cultivar,0.4582915235838214,713251.4106786184,path,0
Early_Cultivar,0.5286977615860907,1250000.0,path,0
Early_Cultivar,0.609920342668128,1250000.0,path,0
Early_Cultivar,0.7036209559208272,1250000.0,path,0
Early_Cultivar,0.8117165717824304,1250000.0,path,0
Early_Cultivar,0.9364186603054515,1250000.0,path,0
Early_Cultivar,1.080278434432767,1250000.0,path,0
Early_Cultivar,1.2462390438907351,1250000.0,path,0
Early_Cultivar,1.4376957875061196,1250000.0,path,0
Early_Cultivar,1.6585655757982052,1250000.0,path,0
Early_Cultivar,1.9133670649439265,1250000.0,path,0
Early_Cultivar,2.207313101533684,1250000.0,path,0
Early_Cultivar,2.546417369395369,1250000.0,path,0
Early_Cultivar,2.937617420316604,1250000.0,path,0
Early_Cultivar,3.3889166056845723,1250000.0,path,0
Early_Cultivar,3.909547812746447,1250000.0,path,0
Early_Cultivar,4.510162355282561,1250000.0,path,0
Early_Cultivar,5.203047883104944,1250000.0,path,0
Early_Cultivar,6.002379768474386,1250000.0,path,0
Early_Cultivar,6.924511112415596,1250000.0,path,0
Early_Cultivar,7.988307304013545,1250000.0,path,0
Early_Cultivar,9.215531977259714,1250000.0,path,0
Early_Cultivar,10.631292261531685,1250000.0,path,0
Early_Cultivar,12.264552434846198,1250000.0,path,0
Early_Cultivar,14.148726488441058,1250000.0,path,0
Early_Cultivar,16.32236172564613,1250000.0,path,0
Early_Cultivar,18.829927380424767,1250000.0,path,0
Early_Cultivar,21.722724389508343,1250000.0,path,0
Early_Cultivar,25.059934930662276,1250000.0,path,0
Early_Cultivar,28.90983319902265,1250000.0,path,0
Early_Cultivar,33.35118219212485,1250000.0,path,0
Early_Cultivar,38.47484507969803,1250000.0,path,0
Early_Cultivar,44.3856441243725,922553.799367342,path,0
Early_Cultivar,51.20450518395967,582160.2141378946,path,0
Early_Cultivar,59.070931668522235,366560.4668763429,path,0
Early_Cultivar,68.14585856559162,230860.63181905204,path,0
Early_Cultivar,78.61494492249976,145782.08407635897,path,0
Early_Cultivar,90.69237214494864,92524.6214786728,path,0
Early_Cultivar,104.62522581916625,59164.0963442054,path,0
Early_Cultivar,120.69855070299012,38208.12961138304,path,0
Early_Cultivar,139.24118230322168,24980.36693606617,path,0
Early_Cultivar,160.63247434435615,16574.338680942,path,0
Early_Cultivar,185.3100597623497,11187.082303615092,path,0
Early_Cultivar,213.77880400142237,7699.979239040848,path,0
Early_Cultivar,246.62113378457758,5417.55389124883,path,0
Early_Cultivar,284.50895266859993,3905.7708446533397,path,0
Early_Cultivar,328.21738715745676,2892.337574306872,path,0
