label,x,y,plot_type,plot_num
Landrace_A,0.0,203111.9406294831,path,0
Landrace_A,91.16607250076049,203111.9406294831,path,0
Landrace_A,98.34417910260164,202440.65020104568,path,0
Landrace_A,106.08746541410908,200407.3939729385,path,0
Landrace_A,114.44043176412106,197005.03568806977,path,0
Landrace_A,123.45108228607631,192257.06320876436,path,0
Landrace_A,133.17120079567567,186218.3571341412,path,0
Landrace_A,143.65664839021343,178974.7268307196,path,0
Landrace_A,154.96768447986787,170641.1527958433,path,0
Landrace_A,167.1693130959048,161358.7948636487,path,0
Landrace_A,180.33165646601057,151296.6019501005,path,0
Landrace_A,194.5303580036777,140649.4582025461,path,0
Landrace_A,209.84701702760427,129618.80744852946,path,0
Landrace_A,226.3696577094209,118404.37756698357,path,0
Landrace_A,244.19323494476754,107197.8285213243,path,0
Landrace_A,263.42018005493844,96177.04283000316,path,0
Landrace_A,284.16098945522015,85501.30930505674,path,0
Landrace_A,306.53485967297263,75307.57952648515,path,0
Landrace_A,330.67037236487505,65707.7638993006,path,0
Landrace_A,356.7062332701014,56787.53855139611,path,0
Landrace_A,384.79206934615524,48606.45918400131,path,0
Landrace_A,415.0892886684716,41198.910966367555,path,0
Landrace_A,447.77200803559,34575.98200656162,path,0
Landrace_A,483.02805361080226,28728.07814156469,path,0
Landrace_A,521.060040350927,23628.062561538853,path,0
Landrace_A,562.0865364256308,19237.72945807539,path,0
Landrace_A,606.3433193191702,15539.763913040171,path,0
Landrace_A,654.0847308333153,12501.178619692846,path,0
Landrace_A,705.5851387785949,10054.030010599086,path,0
Landrace_A,761.1405137541417,8114.818282376378,path,0
Landrace_A,821.0701300778214,6598.322800070765,path,0
Landrace_A,885.7184006418191,5425.892522005785,path,0
Landrace_A,955.4568562385123,4529.5850394569525,path,0
Landrace_A,1030.6862807317395,3853.558734118123,path,0
Landrace_A,1111.8390143441907,3353.8884535681545,path,0
Landrace_A,1199.3814382978167,2996.8101715576754,path,0
Landrace_A,1293.8166550863803,2750.188183337216,path,0
